model,best_params,cv_f1,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
RandomForest,"{""model__max_depth"": null, ""model__min_samples_split"": 5, ""model__n_estimators"": 150}",0.673878925991117,0.9152542372881356,0.8938053097345132,0.6352201257861635,0.7426470588235294,0.9648194770539258
GradientBoosting,"{""model__learning_rate"": 0.1, ""model__max_depth"": 3, ""model__n_estimators"": 100}",0.536495304762767,0.8692493946731235,0.8,0.4276729559748428,0.5573770491803278,0.877476356161542
LogisticRegression,"{""model__C"": 0.1}",0.5321913945097312,0.7372881355932204,0.4006849315068493,0.7358490566037735,0.5188470066518847,0.8219663753029145
AdaBoost,"{""model__learning_rate"": 1.0, ""model__n_estimators"": 100}",0.43685407887800337,0.8389830508474576,0.6857142857142857,0.3018867924528302,0.4192139737991266,0.8297030729918059
